Author,Illustrator,Title,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Editor,LoC No.,Imprint,Summary,Contributor,Engraver,Translator,Alternate Title,Contents,Note,Commentator,Annotator,"Author of introduction, etc.",Edition,Creator,Series Title,Uniform Title
"Ballantyne, R. M. (Robert Michael), 1825-1894","Webb, Archibald, 1887-1944",The Wild Man of the West: A Tale of the Rocky Mountains,English,PS: Language and Literatures: American and Canadian literature,Rocky Mountains -- Juvenile fiction,Text,24617,"Feb 15, 2008",Public domain in the USA.,38 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Pierson, Clara Dillingham","Gordon, F. C., 1856-1924",Dooryard Stories,English,PZ: Language and Literatures: Juvenile belles lettres,Children's stories,Text,42035,"Feb 6, 2013",Public domain in the USA.,37 downloads in the last 30 days.,$0.00,,,,,,,,,Silvertip -- The fight for the bird-house -- The fir-tree neighbors -- The industrious flickers -- Plucky Mrs. Polistes -- Silvertip stops a quarrel -- A young swift tumbles -- The very rude young robins -- The systematic yellow-billed cuckoo -- The helpful tumble-bugs -- Silvertip learns a lesson -- The robins' double brood -- The sparrows inside the eaves -- A rainy day on the lawn -- The persistent phoebe -- The sad story of the hog caterpillar -- The cat and the catbird -- The friendly blackbirds.,,,,,,,,
"Otis, James, 1848-1912","Caley, Isabel W.",The Club at Crow's Corner,English,PZ: Language and Literatures: Juvenile belles lettres,Animals -- Juvenile fiction,Text,32555,"May 27, 2010",Public domain in the USA.,36 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Bailey, Arthur Scott, 1877-1949","Smith, Harry L.",The Tale of Grunty PigSlumber-Town Tales,English,PZ: Language and Literatures: Juvenile belles lettres,Swine -- Juvenile fiction,Text,24731,"Mar 2, 2008",Public domain in the USA.,36 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Harris, Joel Chandler, 1848-1908","Kemble, E. W. (Edward Windsor), 1861-1933","Daddy Jake the Runaway, and Short Stories Told after Dark",English,PZ: Language and Literatures: Juvenile belles lettres,Folk tales,Text,60804,"Nov 29, 2019",Public domain in the USA.,35 downloads in the last 30 days.,$0.00,,,,,,,,,"Daddy Jake, the runaway -- How a witch was caught -- The little boy and his dogs -- How black snake caught the wolf -- Why the guineas stay awake -- How the terrapin was taught to fly -- The creature with no claws -- Uncle Remus's wonder story -- The rattlesnake and the polecat -- How the birds talk -- The foolish woman -- The adventures of Simon and Susanna -- Brother Rabbit and the gingercakes -- Brother Rabbit's courtship.",,,,,,,,
"Otis, James, 1848-1912",,Dick in the Desert,English,PZ: Language and Literatures: Juvenile belles lettres,Sandstorms -- Juvenile fiction,Text,31556,"Mar 8, 2010",Public domain in the USA.,35 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Barnum, Richard","Tooker, Harriet H.","Don, a Runaway Dog: His Many Adventures",English,PZ: Language and Literatures: Juvenile belles lettres,Pet loss -- Juvenile fiction,Text,61401,"Feb 14, 2020",Public domain in the USA.,34 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,Kneetime animal stories,
"Bailey, Arthur Scott, 1877-1949",,The Tale of Peter Mink,English,PZ: Language and Literatures: Juvenile belles lettres,Minks -- Juvenile fiction,Sound,22979,"Oct 1, 2007",Public domain in the USA.,34 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Barnum, Richard","Rogers, Walter S., 1871-","Nero, the Circus Lion: His Many Adventures",English,PZ: Language and Literatures: Juvenile belles lettres,Lion -- Juvenile fiction,Text,21546,"May 21, 2007",Public domain in the USA.,34 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,Kneetime animal stories,
"Garis, Howard Roger, 1873-1962","Wisa, Louis",Uncle Wiggily's Fortune,English,PZ: Language and Literatures: Juvenile belles lettres,Seashore animals -- Juvenile fiction,Text,54995,"Jun 28, 2017",Public domain in the USA.,33 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
